"","titles","prices","years"
"2121","Honda Fit",2050000,"2014"
"2122","Subaru anesis",1330000,"2011"
"2123","Ford f150",7e+05,"2001"
"2124","Toyota Axio",1380000,"2010"
"2125",NA,NA,NA
"2126","Toyota Corolla",130000,"1988"
"2127","Toyota Vitz",1250000,"2012"
"2128","Honda ex",2600000,"2015"
"2129","Subaru Impreza",1270000,"2009"
"2130","Toyota Axio",1300000,"2008"
"2131","Toyota X",2390000,"2011"
"2132","Honda Steam",695000,"2001"
"2133","Mazda Demio",1250000,"2013"
"2134","Suzuki Vitara",1890000,"2012"
"2135","Nissan Note",1690000,"2015"
"2136",NA,NA,NA
"2137","Toyota Axio",1390000,"2010"
"2138","Honda Civic",2190000,"2014"
"2139","Subaru Impreza",1420000,"2011"
"2140","Subaru G4",1799000,"2012"
"2141","Toyota Vitz",1299000,"2012"
"2142","Nissan Juke",1895000,"2012"
"2143","Honda CRV",3300000,"2012"
"2144","Honda Tourcing",4330000,"2016"
"2145","Toyota X",2510000,"2012"
"2146","Toyota Passo",895000,"2012"
"2147",NA,NA,NA
"2148","Toyota Ipsum",1270000,"2008"
"2149","Honda EK",595000,"1999"
"2150","Subaru G4",1710000,"2012"
"2151","Mitsubishi Fortis",1670000,"2009"
"2152","Suzuki Sport",995000,"2009"
"2153","Nissan B15",445000,"2002"
"2154","Nissan Teana",1060000,"2009"
"2155","Toyota corrolla",350000,"1996"
"2156","Honda Si",650000,"2005"
"2157","Suzuki vitara",970000,"2007"
"2158",NA,NA,NA
"2159","Nissan Tiida",1080000,"2011"
"2160","Toyota Regiusace",3700000,"2012"
"2161","Toyota Axio",1450000,"2011"
"2162","Toyota Fortuner",2100000,"2008"
"2163","Toyota Coaster",3900000,"2004"
"2164","Honda Civic",550000,"1999"
"2165","Audi SportBack",3290000,"2015"
"2166","Toyota Corrolla",480000,"1994"
"2167","Toyota Wish",2650000,"2015"
"2168","Toyota vista",480000,"1998"
"2169",NA,NA,NA
"2170","Honda si",420000,"1992"
"2171","Toyota Isis",9e+05,"2007"
"2172","Nissan note",1450000,"2012"
"2173","Nissan teana",1900000,"2012"
"2174","Isuzu Truck",1300000,"2008"
"2175","Suzuki Swift",160000,"1994"
"2176","Honda HRV",3800000,"2015"
"2177","Nissan cube",810000,"2011"
"2178","Honda stream",1400000,"2009"
"2179","Subaru Impreza",8e+05,"2007"
"2180",NA,NA,NA
"2181","Land td4",9e+05,"2005"
"2182","Toyota 4",2800000,"2013"
"2183","Suzuki RS",1500000,"2012"
"2184","Toyota Prenio",1930000,"2012"
"2185","Nissan AD",1300000,"2013"
"2186","Toyota Hybrid",2300000,"2013"
"2187","Honda RSZ",2e+06,"2011"
"2188","Honda Hybrid",3820000,"2013"
"2189","Toyota Sport",2800000,"2012"
"2190","Toyota Vitz",495000,"2003"
"2191",NA,NA,NA
"2192","Nissan 350gt",5e+06,"2014"
"2193","Honda EQ",635000,"2001"
"2194","Honda Fit",1450000,"2013"
"2195","Nissan wagon",570000,"2008"
"2196","Toyota Noah",1650000,"2009"
"2197","Toyota calidina",280000,"1997"
"2198","Suzuki Swift",850000,"2007"
"2199","Daewoo Lanos",120000,"1999"
"2200","Nissan JUKE",2450000,"2015"
"2201","Toyota 2",620000,"2001"
"2202",NA,NA,NA
"2203","Honda Fit",1300000,"2012"
"2204","Toyota ii",450000,"1998"
"2205","Mitsubishi ASX",5650000,"2018"
"2206","Nissan TIIDA",790000,"2008"
"2207","Mitsubishi SPORT",750000,"2003"
"2208","Land Rover",1700000,"2004"
"2209","Honda CIVIC",1050000,"2009"
"2210","Nissan QASHQAI",1500000,"2010"
"2211","Nissan Note",6e+05,"2008"
"2212","Mitsubishi Cedia",430000,"2001"
"2213",NA,NA,NA
"2214","BMW 530i",1600000,"2006"
"2215","Honda CRV",1300000,"2005"
"2216","Toyota Premio",960000,"2006"
"2217","Toyota Corolla",450000,"1995"
"2218","Subaru Impreza",590000,"2007"
"2219","Ford Ranger",3192820,"2015"
"2220","Toyota Axio",1680000,"2012"
"2221","Mitsubishi Lancer",250000,"1998"
"2222","Toyota Ractis",1500000,"2012"
"2223","Nissan Latio",1450000,"2012"
"2224",NA,NA,NA
"2225","Toyota Avensis",2050000,"2012"
"2226","Suzuki Alto",750000,"2012"
"2227","Volkswagen Jetta",3500000,"2016"
"2228","Mitsubishi ASX",4900000,"2017"
"2229","Toyota altis",770000,"2007"
"2230","BMW 330i",1590000,"2006"
"2231","Toyota Levin",550000,"1999"
"2232","Toyota Altezza",650000,"1999"
"2233","Honda INSPIRE",1580000,"2008"
"2234","Honda Civic",590000,"2001"
"2235",NA,NA,NA
"2236","Honda Civic",1490000,"2010"
"2237","Subaru sport",2250000,"2015"
"2238","BMW 320i",1350000,"2007"
"2239","Toyota Tundra",4850000,"2012"
"2240","Toyota Corolla",1400000,"2007"
"2241","Nissan bigthumb",250000,"1998"
"2242","Honda Ex",2250000,"2014"
"2243","Nissan tiida",1250000,"2011"
"2244","Toyota Vista",3e+05,"1996"
"2245","Toyota camry",380000,"1996"
"2246",NA,NA,NA
"2247","Honda cl7",940000,"2002"
"2248","Suzuki Swift",740000,"2007"
"2249","Nissan Tiida",1400000,"2012"
"2250","Audi a4",1180000,"2008"
"2251","Toyota Yaris",480000,"2004"
"2252","Honda Ridgeline",1400000,"2006"
"2253","Nissan sylphy",5e+05,"2001"
"2254","BMW X5",3600000,"2008"
"2255","Mazda DEMIO",8e+05,"2009"
"2256","Toyota Corolla",420000,"2001"
"2257",NA,NA,NA
"2258","Honda Stream",1650000,"2010"
"2259","Toyota Yaris",1450000,"2013"
"2260","Honda inspire",280000,"1995"
"2261","Nissan sunny",470000,"2002"
"2262","Nissan Caravan",1360000,"2008"
"2263","Toyota Auris",1050000,"2008"
"2264","Toyota Altis",9e+05,"2004"
"2265","Suzuki Swift",2e+05,"1995"
"2266","Toyota AXIO",1900000,"2013"
"2267","Honda Stream",1200000,"2006"
"2268",NA,NA,NA
"2269","Suzuki Swift",250000,"1998"
"2270","Honda ef",250000,"1990"
"2271","Isuzu 45",3500000,"2008"
"2272","Toyota Ipsum",1250000,"2009"
"2273","Toyota Wiah",1340000,"2009"
"2274","Subaru Turbocharged",850000,"2003"
"2275","Honda Accord",650000,"1998"
"2276","Nissan sunny",330000,"1997"
"2277","Honda Aria",7e+05,"2008"
"2278","BMW X5",3350000,"2008"
"2279",NA,NA,NA
"2280","Toyota Axio",1620000,"2012"
"2281","Nissan BLUEBIRD",390000,"1999"
"2282","Honda COUPE",1250000,"2008"
"2283","Toyota Hiace",550000,"1995"
"2284","Nissan Teana",1950000,"2012"
"2285","Suzuki swift",1330000,"2013"
"2286","Mitsubishi challenger",4e+05,"1996"
"2287","Toyota TRANSMISSION",36000,"1995"
"2288","Toyota 4efe",35000,"1995"
"2289","Honda Accord",1270000,"2005"
"2290",NA,NA,NA
"2291","Mitsubishi Grandis",650000,"2003"
"2292","Isuzu Elf",2500000,"2006"
"2293","BMW series",8e+05,"2002"
"2294","Mitsubishi Pajero",2800000,"2011"
"2295","Suzuki Vitara",2300000,"2012"
"2296","Honda Hybrd",1200000,"2012"
"2297","Nissan SUNNY",650000,"2005"
"2298","Nissan CEFIRO",850000,"2008"
"2299","Audi A4",590000,"2000"
"2300","Toyota Belta",1250000,"2012"
"2301",NA,NA,NA
"2302","Nissan trail",2300000,"2011"
"2303","MG Nano",650000,"2012"
"2304","Nissan Wagon",980000,"2013"
"2305","Honda Fit",1699000,"2014"
"2306","Toyota G",1850000,"2014"
"2307","Mitsubishi FTO",450000,"1997"
"2308","Toyota toyota",230000,"1994"
"2309","Honda Accord",1690000,"2012"
"2310","Mazda 3",1350000,"2012"
"2311","Mazda 3",2200000,"2013"
"2312",NA,NA,NA
"2313","Nissan Sylphy",1100000,"2008"
"2314","Mitsubishi L200",680000,"1999"
"2315","Jeep Sport",5500000,"2013"
"2316","Honda CRV",870000,"2002"
"2317","Toyota Voxy",2450000,"2010"
"2318","Honda CIVIC",2300000,"2015"
"2319","Toyota carolla",9e+05,"2002"
"2320","Yamaha 700r",650000,"2008"
"2321","Nissan Sentra",2300000,"2013"
"2322","Nissan WAGON",980000,"2012"
"2323",NA,NA,NA
"2324","Mitsubishi Chariot",580000,"2001"
"2325","Toyota Passo",850000,"2012"
"2326","Toyota Wish",1600000,"2010"
"2327","Toyota sport",1500000,"2011"
"2328","Mitsubishi Mirage",1100000,"2012"
"2329","Subaru Impreza",1500000,"2012"
"2330","Honda civic",950000,"2009"
"2331","Toyota Voxy",1950000,"2008"
"2332","Nissan Sylphy",850000,"2008"
"2333","Honda Fit",1e+06,"2010"
"2334",NA,NA,NA
"2335","BMW convertable",3800000,"2013"
"2336","Honda fit",2e+06,"2016"
"2337","Honda Civic",2100000,"2014"
"2338","Nissan Sylphy",690000,"2005"
"2339","Honda Fit",1680000,"2013"
"2340","Isuzu Npr",8e+05,"1990"
"2341","Toyota Passo",1100000,"2013"
"2342","Honda Civic",750000,"2003"
"2343","Honda Odyssey",590000,"2002"
"2344","Honda Civic",1400000,"2010"
"2345",NA,NA,NA
"2346","Volvo DL",430000,"1983"
"2347","Toyota Levin",240000,"1990"
"2348","Volkswagen TSI",3700000,"2016"
"2349","Mitsubishi Pajreo",440000,"2000"
"2350","Honda Accord",1700000,"2007"
"2351","Toyota X",2100000,"2011"
"2352","Mitsubishi Airtrek",680000,"2004"
"2353","Suzuki Swift",660000,"2006"
"2354","Mazda Premacy",740000,"2008"
"2355","Honda Civic",670000,"2003"
"2356",NA,NA,NA
"2357","Honda Civic",1800000,"2012"
"2358","Toyota Aerotuner",950000,"2001"
"2359","Mitsubishi Mirage",9e+05,"2012"
"2360","Toyota Corolla",3e+05,"2002"
"2361","Toyota axio",1550000,"2012"
"2362","Audi Q5",4500000,"2013"
"2363","Suzuki Vitara",790000,"2005"
"2364","Honda Fit",2250000,"2015"
"2365","Honda Fit",650000,"2007"
"2366","Toyota Vitz",1370000,"2013"
"2367",NA,NA,NA
"2368","Nissan Note",1250000,"2013"
"2369","Toyota z",2380000,"2012"
"2370","Mazda Demio",1200000,"2012"
"2371","Mitsubishi Cedia",480000,"2001"
"2372","Nissan Tida",1040000,"2012"
"2373","Honda cl7",1100000,"2006"
"2374","BMW 525i",1250000,"2005"
"2375","Nissan NOTE",1580000,"2014"
"2376","Toyota isis",1500000,"2009"
"2377","Honda Accord",2850000,"2012"
"2378",NA,NA,NA
"2379","Toyota Corolla",380000,"1996"
"2380","Honda civic",1300000,"2008"
"2381","Toyota Rav4",3500000,"2014"
"2382","Nissan b13",150000,"1991"
"2383","Honda Hrv",3600000,"2016"
"2384","Honda Hrv",3500000,"2016"
"2385","Honda Civic",3600000,"2017"
"2386","Toyota Tacoma",6200000,"2016"
"2387","Honda Civic",3600000,"2017"
"2388","Honda stream",850000,"2005"
"2389",NA,NA,NA
"2390","Mercedes 250D",12300000,"2017"
"2391","Honda Accord",3150000,"2015"
"2392","Nissan Wagon",9e+05,"2012"
"2393","Toyota KINGFISH",820000,"2003"
"2394","Suzuki VITARA",1300000,"2008"
"2395","Honda civic",1300000,"2010"
"2396","Nissan XE",4600000,"2016"
"2397","Toyota Surff",610000,"1997"
"2398","Mercedes C280",550000,"1996"
"2399","Freightliner FL70",2300000,"1992"
"2400",NA,NA,NA
"2401","Nissan B15",550000,"2002"
"2402","Toyota Camry",1400000,"2007"
"2403","Toyota Axio",1500000,"2012"
"2404","Mercedes 250",5100000,"2014"
"2405","Toyota corolls",390000,"1994"
"2406","BMW E46",6e+05,"2002"
"2407","Honda Fit",1240000,"2012"
"2408","Honda Stream",8e+05,"2002"
"2409","Mitsubishi ASX",2490000,"2013"
"2410","Toyota X",2320000,"2012"
"2411",NA,NA,NA
"2412","Toyota axio",1200000,"2009"
"2413","Honda Ferio",750000,"2002"
"2414","Suzuki SWIFT",680000,"2008"
"2415","Isuzu Tipper",2900000,"2005"
"2416","Toyota Levin",320000,"1990"
"2417","Subaru LEGACY",9e+05,"2007"
"2418","Honda Civic",460000,"1997"
"2419","Honda Fit",1400000,"2013"
"2420","Toyota Auris",1100000,"2009"
"2421","Mazda Demio",1300000,"2013"
"2422",NA,NA,NA
"2423","Nissan March",1500000,"2015"
"2424","Toyota Voxy",950000,"2004"
"2425","Nissan Sentra",8e+05,"2007"
"2426","Suzuki Jimny",7e+05,"2002"
"2427","Toyota Vitz",1380000,"2013"
"2428","Mitsubishi LancerGLX",60000,"1998"
"2429","Toyota Corrolla",320000,"1995"
"2430","Mitsubishi Lancer",480000,"2002"
"2431","Honda FIT",1200000,"2012"
"2432","Nissan pulsar",2e+05,"1991"
"2433",NA,NA,NA
"2434","Volkswagen passat",2100000,"2013"
"2435","Toyota succeed",350000,"2004"
"2436","Subaru Forester",660000,"2004"
"2437","Toyota X",1980000,"2010"
"2438","Honda integra",5e+05,"1998"
"2439","Mitsubishi Chariot",5e+05,"1999"
"2440","Mitsubishi Mirage",980000,"2012"
"2441","Honda Fit",960000,"2008"
"2442","Toyota Passo",450000,"2004"
"2443","Toyota xli",1650000,"2012"
"2444",NA,NA,NA
"2445","Honda RR",6e+05,"2011"
"2446","Daihatsu Mira",720000,"2012"
"2447","Mitsubishi Pajero",430000,"1993"
"2448","Honda Fit",790000,"2007"
"2449","Toyota Corolla",435000,"1995"
"2450","Nissan B14",330000,"1996"
"2451","Honda fit",1200000,"2012"
"2452","Volkswagen Jetta",3400000,"2016"
"2453","BMW 3251",2e+06,"2009"
"2454","Toyota Luxel",1700000,"2011"
"2455",NA,NA,NA
"2456","Ford Escort",1500000,"1974"
"2457","Honda Integra",890000,"2006"
"2458","Nissan b13",130000,"1991"
"2459","Toyota Passo",850000,"2012"
"2460","Toyota Epoch",8e+05,"2012"
"2461","Toyota CAMRY",350000,"1997"
"2462","Toyota vitz",850000,"2011"
"2463","Toyota vitz",850000,"2011"
"2464","Nissan bluebird",280000,"1992"
"2465","Nissan Teana",2e+06,"2011"
"2466",NA,NA,NA
"2467","Honda EXL",2350000,"2015"
"2468","Lexus is250",1450000,"2006"
"2469","Toyota Corolla",280000,"2000"
"2470","Mitsubishi ASX",2500000,"2012"
"2471","Honda Civic",650000,"2004"
"2472","Nissan Caravan",980000,"2006"
"2473","Honda r",2200000,"2007"
"2474","Honda CIVIC",1300000,"2010"
"2475","Toyota X",2100000,"2010"
"2476","Suzuki ALTO",650000,"2010"
"2477",NA,NA,NA
"2478","Nissan Sunny",690000,"2005"
"2479","Honda Crv",1200000,"2004"
"2480","Freightliner Truck",3400000,"2002"
"2481","Honda Civic",220000,"1991"
"2482","Toyota Axio",1350000,"2010"
"2483","Honda Es1",850000,"2004"
"2484","Honda CIVIC",9e+05,"2005"
"2485","Toyota grill",8000,"2007"
"2486","Mitsubishi Lancer",650000,"2005"
"2487","Acura Integra",645000,"2005"
"2488",NA,NA,NA
"2489","Nissan Bluebird",350000,"1997"
"2490","Mitsubishi ASX",2650000,"2014"
"2491","Honda Civic",690000,"2003"
"2492","Mercedes c200",6500000,"2015"
"2493","Mazda Atenza",2e+06,"2011"
"2494","Toyota fielder",1350000,"2010"
"2495","Honda Civic",1250000,"2008"
"2496","Nissan LATIO",1650000,"2014"
"2497","Mazda Titan",1e+06,"2003"
"2498","Honda Civic",530000,"1996"
"2499",NA,NA,NA
"2500","Honda ACCORD",850000,"2003"
"2501","BMW X5",3700000,"2010"
"2502","Hyundai sonata",430000,"2004"
"2503","BMW 320I",1300000,"2005"
"2504","Nissan SUNNY",490000,"2002"
"2505","Toyota PRADO",790000,"1997"
"2506","Subaru ANESIS",1100000,"2009"
"2507","Toyota ALTIS",870000,"2005"
"2508","Subaru LEGACY",750000,"2005"
"2509","Nissan SUNNY",650000,"2004"
"2510",NA,NA,NA
"2511","Toyota VITZ",1250000,"2012"
"2512","Subaru G4",1700000,"2012"
"2513","Honda ACCORD",650000,"2001"
"2514","Toyota X",1400000,"2008"
"2515","BMW 320I",3500000,"2013"
"2516","Honda CIVIC",470000,"1997"
"2517","Nissan B15",620000,"2004"
"2518","Honda FIT",670000,"2006"
"2519","Lexus 250",1600000,"2007"
"2520","Toyota fielder",1250000,"2008"
"2521",NA,NA,NA
"2522","Toyota 110",650000,"2000"
"2523","Mazda Demio",1150000,"2010"
"2524","Subaru Legacy",1180000,"2007"
"2525","Honda Fit",2500000,"2015"
"2526","Honda Fit",2800000,"2016"
"2527","Honda zs",1890000,"2011"
"2528","Nissan Lafesta",920000,"2011"
"2529","Toyota Tercel",2e+05,"1995"
"2530","Toyota Grande",9e+05,"2003"
"2531","Honda torneo",70000,"2001"
"2532",NA,NA,NA
"2533","Honda shape",680000,"2000"
"2534","Nissan NX",320000,"1992"
"2535","Honda Integra",530000,"2000"
"2536","Honda INTEGRA",420000,"1996"
"2537","BMW 328i",3400000,"2014"
"2538","BMW 328i",3400000,"2014"
"2539","Suzuki Swift",1400000,"2013"
"2540","Honda fit",880000,"2007"
"2541","Daihatsu Mira",6e+05,"2012"
"2542","Toyota fielder",1230000,"2008"
"2543",NA,NA,NA
"2544","Nissan WAGON",870000,"2012"
"2545","Toyota wish",2190000,"2012"
"2546","Toyota Platana",2190000,"2013"
"2547","Toyota Premio",2390000,"2013"
"2548","Honda accord",380000,"1996"
"2549","Honda Accord",2600000,"2012"
"2550","Toyota Passo",895000,"2012"
"2551","Toyota Passo",895000,"2012"
"2552","Honda Fit",1990000,"2015"
"2553","Honda Fit",1220000,"2012"
"2554",NA,NA,NA
"2555","Honda Fit",1900000,"2014"
"2556","Toyota X",1290000,"2008"
"2557","Nissan Wagon",899000,"2012"
"2558","Toyota Passo",895000,"2012"
"2559","Toyota Camry",440000,"1996"
"2560","Chevrolet Aveo",545000,"2008"
"2561","Honda EXL",3170000,"2016"
"2562","BMW 530i",1370000,"2004"
"2563","Toyota 4Runner",540000,"1998"
"2564","Honda Fit",1950000,"2015"
"2565",NA,NA,NA
"2566","Nissan Skyline",1570000,"2008"
"2567","Audi A6",2280000,"2011"
"2568","Nissan XTrail",2650000,"2013"
"2569","Nissan Wagon",1120000,"2013"
"2570","Daihatsu Es",670000,"2012"
"2571","Honda Accord",550000,"2000"
"2572","Nissan van",1500000,"2010"
"2573","Nissan Bluebird",250000,"1992"
"2574","Toyota hiace",7e+05,"2000"
"2575","Honda Torneo",560000,"1998"
"2576",NA,NA,NA
"2577","Nissan Sylphy",1500000,"2009"
"2578","Toyota X",2250000,"2012"
"2579","Volkswagen TSI",2e+06,"2012"
"2580","Chevrolet Malibu",2700000,"2015"
"2581","Toyota 250G",2150000,"2010"
"2582","Honda Jazz",1350000,"2012"
"2583","Mazda Demio",780000,"2009"
"2584","Toyota Rav4",6e+05,"1998"
"2585","Nissan Sunny",580000,"2003"
"2586","Honda R",2400000,"2007"
"2587",NA,NA,NA
"2588","Honda SHAPE",665000,"2002"
"2589","Toyota corrolla",6e+05,"1999"
"2590","Honda Accord",1500000,"2008"
"2591","Toyota SV40",395000,"1994"
"2592","Honda Hrv",3250000,"2016"
"2593","Honda civic",7e+05,"2004"
"2594","Honda Accord",950000,"2005"
"2595","Honda Civic",590000,"2000"
"2596","Suzuki swift",1050000,"2012"
"2597","Honda hobio",1e+06,"2011"
"2598",NA,NA,NA
"2599","Mitsubishi Grandis",750000,"2006"
"2600","Honda Civic",490000,"2001"
"2601","Mercedes 300",1300000,"1992"
"2602","Nissan Frontier",2430000,"2014"
"2603","Nissan B13",150000,"1992"
"2604","Toyota AXIO",2200000,"2015"
"2605","Honda Civi",750000,"2005"
"2606","Freightliner Akinson",2070000,"2002"
"2607","Suzuki Swift",350000,"2007"
"2608","Honda CITY",2900000,"2016"
"2609",NA,NA,NA
"2610","Nissan Teana",1100000,"2007"
"2611","Nissan Expert",940000,"2012"
"2612","Chevrolet Aveo",550000,"2007"
"2613","Toyota Axio",1880000,"2012"
"2614","Nissan Bluebird",295000,"1997"
"2615","Nissan Tiida",1040000,"2012"
"2616","Nissan B14",230000,"1996"
"2617","Toyota Corsa",4e+05,"1997"
"2618","Suzuki vitara",2300000,"2013"
"2619","Honda coupe",375000,"1997"
"2620",NA,NA,NA
"2621","Toyota Corolla",650000,"2000"
"2622","Audi S3",6500000,"2016"
"2623","Toyota Tundra",3e+06,"2006"
"2624","Honda fit",1300000,"2012"
"2625","Suzuki Vitara",1e+06,"2009"
"2626","Toyota Corolla",1500000,"2010"
"2627","Nissan Tiida",890000,"2010"
"2628","Honda Civic",630000,"2000"
"2629","Toyota hiluks",340000,"1991"
"2630","Subaru Impreza",1600000,"2012"
"2631",NA,NA,NA
"2632","Toyota X",3400000,"2014"
"2633","Jaguar XF",4700000,"2011"
"2634","Honda Accord",2900000,"2013"
"2635","Nissan Xtrail",2300000,"2012"
"2636","Honda Accord",1950,"2008"
"2637","Toyota fielder",1090000,"2008"
"2638","Toyota Blade",1150,"2007"
"2639","Nissan Caravan",1585000,"2011"
"2640","Suzuki gti",2600,"1994"
"2641","Mitsubishi Lancer",2400000,"2015"
"2642",NA,NA,NA
"2643","Toyota TRD",4550000,"2013"
"2644","Honda Accord",1500000,"2011"
"2645","Toyota Corolla",1880000,"2012"
"2646","Honda Hybrid",1550000,"2010"
"2647","Hyundai ACCENT",2100000,"2017"
"2648","Honda EG",130000,"1994"
"2649","Nissan SV",3400000,"2014"
"2650","Mitsubishi Lancer",520000,"2002"
"2651","Honda Si",2750000,"2015"
"2652","Nissan Tiida",815000,"2009"
"2653",NA,NA,NA
"2654","Honda EX",3190000,"2016"
"2655","Honda civics",980000,"2007"
"2656","Mitsubishi Lancer",440000,"2001"
"2657","Toyota Bb",890000,"2012"
"2658","Nissan Grand",2300000,"2011"
"2659","Honda Fit",1180000,"2012"
"2660","Honda Accord",6e+05,"1999"
"2661","Mitsubishi sport",1600000,"2007"
"2662","Nissan March",430000,"2005"
"2663","Toyota RS",1760000,"2013"
"2664",NA,NA,NA
"2665","Nissan Tida",750000,"2008"
"2666","Toyota 110",495000,"1995"
"2667","Suzuki Vitara",1200000,"2008"
"2668","Toyota Camry",150000,"1990"
"2669","Nissan wagon",9e+05,"2012"
"2670","Toyota 110",4e+05,"1996"
"2671","Honda EK3",480000,"1998"
"2672","Toyota Axio",1380000,"2012"
"2673","Toyota Corolla",2e+06,"2012"
"2674","Toyota Rumuin",1500,"2015"
"2675",NA,NA,NA
"2676","Nissan Serena",280000,"1996"
"2677","Toyota Premio",1700000,"2009"
"2678","Suzuki Liana",510000,"2007"
"2679","Nissan Qashqai",1700000,"2010"
"2680","Toyota Probox",1100000,"2013"
"2681","Honda Odyessy",670000,"2002"
"2682","Toyota Probox",1500000,"2014"
"2683","Toyota Probox",1500000,"2014"
"2684","Honda Fit",1840000,"2015"
"2685","Toyota ISIS",1500000,"2011"
"2686",NA,NA,NA
"2687","Toyota RACTIS",1100000,"2011"
"2688","Honda Insight",1250000,"2012"
"2689","Toyota hiace",570000,"1995"
"2690","Honda Fit",650000,"2006"
"2691","Suzuki Swift",1450000,"2013"
"2692","Honda Civic",1700,"2012"
"2693","Mazda Premacy",560000,"2005"
"2694","Honda Jazz",650000,"2004"
"2695","Toyota Fortuner",2350000,"2008"
"2696","Honda City",850000,"2004"
"2697",NA,NA,NA
"2698","Honda fit",1020000,"2010"
"2699","Nissan Frontier",2200000,"2012"
"2700","Daihatsu charade",110000,"1991"
"2701","Nissan Note",1250000,"2012"
"2702","Suzuki SX4",1e+06,"2010"
"2703","Jaguar XF",5e+06,"2011"
"2704","Nissan note",920000,"2010"
"2705","Nissan Wingroad",9e+05,"2012"
"2706","Honda Civic",1600000,"2012"
"2707","Toyota Tercel",260000,"1998"
"2708",NA,NA,NA
"2709","Suzuki lights",50000,"2017"
"2710","Audi A4",5400000,"2016"
"2711","Subaru LEVORG",4600000,"2014"
"2712","Honda civic",660000,"2004"
"2713","Honda Civic",530000,"1998"
"2714","Mazda demio",920000,"2012"
"2715","Nissan tiida",9e+05,"2011"
"2716","Mazda demio",850000,"2011"
"2717","Toyota Wish",1500000,"2010"
"2718","Toyota Vitz",790000,"2010"
"2719",NA,NA,NA
"2720","Suzuki alto",5e+05,"2010"
"2721","BMW 320i",1800000,"2010"
"2722","Nissan tiida",850000,"2010"
"2723","Jaguar FX",3300000,"2009"
"2724","Suzuki Swift",150000,"1993"
"2725","Nissan Bluebird",230000,"1994"
"2726","Toyota Passo",980000,"2012"
"2727","Honda INSPIRE",1700000,"2008"
"2728","Daihatsu Mira",670000,"2012"
"2729","Toyota Caldina",920000,"2007"
"2730",NA,NA,NA
"2731","Honda CRV",1300000,"2005"
"2732","Scion scion",8e+05,"2007"
"2733","Toyota fish",920000,"2006"
"2734","Mercedes C300",5800000,"2016"
"2735","Mazda 3",2700000,"2015"
"2736","Honda FIT",1220000,"2012"
"2737","Toyota BZR",480000,"1999"
"2738","Nissan TIIDA",750000,"2009"
"2739","Honda fit",665000,"2005"
"2740","Toyota ISIS",2e+06,"2012"
"2741",NA,NA,NA
"2742","Suzuki Alto",9e+05,"2012"
"2743","Honda Accord",580000,"1999"
"2744","Lexus rims",40000,"2009"
"2745","Nissan b13",280000,"1994"
"2746","Honda Partner",480000,"1998"
"2747","Suzuki Alto",750000,"2012"
"2748","Honda FIt",1350000,"2012"
"2749","Toyota Boon",580000,"2009"
"2750","Suzuki Swift",9e+05,"2010"
"2751","Lexus 400H",2500000,"2009"
"2752",NA,NA,NA
"2753","Subaru S4",4999999,"2014"
"2754","Toyota Allion",2100000,"2011"
"2755","Isuzu Forward",3100000,"2003"
"2756","Toyota townace",1120000,"2010"
"2757","Toyota package",2100000,"2010"
"2758","Nissan TIIDA",990000,"2011"
"2759","Toyota Corolla",580000,"1995"
"2760","Toyota camry",430000,"1999"
"2761","Toyota Ipsum",1250000,"2007"
"2762","Mazda 2",1700000,"2014"
"2763",NA,NA,NA
"2764","Honda CIVIC",1400000,"2008"
"2765","Honda Civic",1580000,"2012"
"2766","Toyota 4",1800000,"2011"
"2767","Honda CRV",2650000,"2011"
"2768","Honda iS",8e+05,"2003"
"2769","Toyota Sprinter",450000,"1995"
"2770","Honda Integra",480000,"1996"
"2771","Mercedes E350",5898110,"2013"
"2772","Honda Civic",495000,"2000"
"2773","Suzuki Swift",1400000,"2014"
"2774",NA,NA,NA
"2775","Honda Civic",7e+05,"2002"
"2776","Suzuki Swift",210000,"1994"
"2777","Toyota Pixis",735000,"2012"
"2778","Nissan Sunny",490000,"2001"
"2779","Suzuki Swift",1350000,"2012"
"2780","Subaru Sti",2500000,"2012"
"2781","Toyota Corolla",1100000,"2009"
"2782","Toyota S",1020000,"2010"
"2783","Honda EX",2350000,"2015"
"2784","Nissan B13",270000,"1991"
"2785",NA,NA,NA
"2786","Honda civic",5e+05,"1998"
"2787","Toyota Corolla",4e+05,"1996"
"2788","Honda Stepwagon",1900000,"2011"
"2789","Honda Fit",950000,"2010"
"2790","Toyota axio",2300000,"2014"
"2791","Nissan presage",1700000,"2009"
"2792","Mitsubishi Lancer",480000,"2006"
"2793","Nissan lafesta",850000,"2009"
"2794","Mitsubishi lancer",370000,"1998"
"2795","Suzuki Swift",1530000,"2014"
"2796",NA,NA,NA
"2797","Subaru Impreza",1450000,"2012"
"2798","Honda Accord",1600000,"2010"
"2799","Toyota Axio",1150000,"2008"
"2800","BMW 428i",5950000,"2014"
"2801","Audi Q5",4500000,"2013"
"2802","Nissan Bluebird",850000,"2008"
"2803","Honda RSZ",1100000,"2008"
"2804","Honda accord",2550000,"2014"
"2805","Subaru STI",6300000,"2014"
"2806","Nissan Note",1400000,"2013"
"2807",NA,NA,NA
"2808","Honda shuttle",1450000,"2012"
"2809","Honda Civic",980000,"2006"
"2810","Nissan Wagon",950000,"2012"
"2811","Nissan Note",1550000,"2014"
"2812","Hyundai Elantra",2e+06,"2013"
